가계수지항목별,1분위-가구분포 (%),소득 (원),가계지출 (원),소비지출 (원),01.식료품 · 비주류음료 (원),02.주류 · 담배 (원),03.의류 · 신발 (원),04.주거 · 수도 · 광열 (원),05.가정용품 · 가사서비스 (원),06.보건 (원),07.교통 (원),08.통신 (원),09.오락 · 문화 (원),10.교육 (원),11.음식 · 숙박 (원),12.기타상품 · 서비스 (원),비소비지출 (원)
2005,20,3476596,2737816,2165701,295579,31390,141761,194310,76076,116833,279529,152359,117255,261772,317140,181696,572115
2006,19.99,3680482,2901406,2283466,302397,31419,146682,208241,80724,128182,308456,155394,120697,281619,316367,203289,617940
2007,20.01,3847200,2995748,2341519,303881,30220,154014,205519,80420,136062,297200,155254,128607,300475,334949,214918,654230
2008,20,4060975,3183126,2480145,332415,30039,157617,210619,82738,141168,320408,153078,135139,345273,356367,215286,702981
2009,20,4136344,3251129,2513154,329083,30008,161952,216903,84369,154859,337006,156330,130364,350589,345786,215905,737976
2010,20,4358248,3488845,2686847,344237,31761,177563,231524,97366,169609,330123,160039,148874,388653,359253,247843,801998
2011,19.99,4591021,3700241,2841972,374111,30800,191316,250098,104026,180240,374184,165853,161824,377703,366027,265790,858268
2012,20,4873068,3794912,2884221,383095,30813,203295,269085,102417,176745,365560,177627,159186,377877,386569,251951,910691
2013,20.02,4993435,3872749,2951166,384549,29395,208103,285255,110906,177381,405918,178369,165325,375703,394911,235350,921583
2014,20.01,5136732,3912241,2956012,383181,28504,203405,283795,112346,185176,395806,176251,179109,350330,408415,249695,956229
2015,19.95,5203264,3975029,3023638,388822,35513,194797,298351,116769,199024,419111,170667,175072,364222,411568,249720,951392
2016,20.01,5270734,3991292,3038442,385194,38400,192991,286840,129724,193934,391609,167614,182225,377965,425205,266742,952849
2017    ,19.96,5400349,4042515,3110787,417809,40957,188742,293297,137060,198524,481352,178840,204322,258836,458307,252741,931728
2018    ,20.06,5192179,4043891,3066794,415388,42682,189774,292510,143369,215418,457918,169595,228036,229824,449951,232331,977097
2019    ,20.02,5316661,4053625,3004213,401954,42056,168207,292257,131419,232714,385451,160347,210142,276954,442320,260391,1049412
